
a	(thông tục) loại a
convivial	(thuộc) yến tiệc
conviviality	thú vui yến tiệc; sự ăn uống vui vẻ
convocation	sự triệu tập họp
convocator	người triệu tập họp
convoke	triệu tập
convoker	người triệu tập họp
convolute	sự quấn lại
convoluted	quấn
convolution	sự quấn lại
convolve	quấn lại
convolvulus	giống cây bìm bìm
convoy	sự hộ tống
convoyer	tàu hộ tống
convulse	làm chấn động
convulsion	sự biến động
convulsive	chấn động
cony	(từ Mỹ
coo	tiếng gù của bồ câu
cook	người nấu ăn
cook-book	(từ Mỹ
cook-house	bếp
cook-room	(từ Mỹ
cook-shop	nhà ăn; hiệu ăn
cook-stove	(từ Mỹ
cooker	lò
cookery	nghề nấu ăn
cookery-book	sách dạy nấu ăn
cookie	(Ê-cốt) bánh bao
cooking	sự nấu; cách nấu ăn
cooking range	bếp lò
cooky	(như) cookie
cool	mát mẻ
cool-headed	bình tĩnh
coolant	(kỹ thuật) chất lỏng làm nguội (cho dụng cụ cắt gọt)
cooler	máy ướp lạnh
coolie	phu
coolish	hơi lạnh
coolly	mát nẻ
coolness	sự mát mẻ
coomb	thung lũng nhỏ (bên sườn núi)
coon	(động vật học) gấu trúc Mỹ
coop	lồng gà
cooper	quán rượu nổi (cho những người đánh cá ở Bắc hải) ((cũng) coper)
cooperage	nghề đóng thùng
coopery	nghề đóng thùng
coot	(động vật học) chim sâm cầm
cootie	(quân sự)
cop	suốt chỉ
copaiba	nhựa copaiba
copaiva	nhựa copaiba
copal	nhựa copan
coparcenary	(pháp lý) sự thừa kế chung
coparcener	(pháp lý) người cùng thừa kế
copartner	người chung cổ phần (trong việc kinh doanh)
copartnership	sự chung cổ phần; chế độ chung cổ phần
copartnery	sự chung cổ phần; chế độ chung cổ phần
cope	(tôn giáo) áo lễ
cope-stone	(như) coping-stone
copeck	đồng côpêch (tiền Liên-xô
coper	anh lái ngựa ((cũng) horse-coper)
copier	người sao lục
coping	(kiến trúc) mái tường
coping-stone	(kiến trúc) đá mái tường
copious	phong phú
copiousness	sự phong phú
copper	(từ lóng) cảnh sát
copper-bottomed	có đáy bọc đồng (tàu thuỷ)
copper-smith	thợ đúc đồ đồng
copper-ware	đồ đồng
copper-works	xưởng đúc đồng; lò đúc đồ đồng
copperas	(hoá học) sắt II sunfat kết tinh
copperhead	(động vật học) rắn hổ mang
copperplate	bản khắc đồng để in
copperskin	người da đỏ (Mỹ)
coppery	(thuộc) đồng; có chất đồng
coppice	bãi cây nhỏ (trồng để chất đống dùng hàng năm)
coppice-clump	chồi
copra	cùi dừa khô
coprology	sự viết vẽ về những đề tài tục tĩu
coprophagous	ăn phân (bọ hung...)
copse	(như) coppice
copsy	có nhiều bãi cây nhỏ
copter	(thông tục) máy bay lên thẳng
copula	hệ từ
copulate	giao cấu
copulation	(ngôn ngữ học) sự nối
copulative	đế nối
copulatively	nối tiếp
copulatory	(giải phẫu) để giao cấu
copy	bản sao
copy-book	vở
copy-cat	người bắt chước một cách mù quáng
copy-reader	(từ Mỹ
copy-writer	người viết bài quảng cáo
copyist	người sao
copyright	bản quyền
coquet	đỏm
coquetry	tính hay làm đỏm
coquette	người đàn bà hay làm đỏm
coquettish	làm dáng
coquito	(thực vật học) cây côkitô
coracle	thuyền thúng (bọc vải dầu)
coral	san hô
coralliferous	có san hô
coralline	(thực vật học) tảo san hô
corallite	đá san hô coralit
coralloid	tựa san hô
corbel	(kiến trúc) tay đỡ
corbie	(Ê-cốt) con quạ
cord	dây thừng nhỏ
cordage	(hàng hải) thừng chão
cordate	hình tim
corded	buộc bằng dây
cordelier	tu sĩ dòng thánh Fran-xít (thường buộc dây thừng có nút làm bằng thắt lưng)
cordial	thân ái
cordiality	sự thân ái
cordially	thân ái
cordite	cođit (thuốc nổ không khói)
cordon	dãy đồn bốt; hàng rào cảnh sát
cordon blue	quan to
corduroy	nhung kẻ
cordwain	(từ cổ
cordwainer	(từ cổ
core	lõi
coreopsis	(thực vật học) cây phòng phong
corer	cái để lấy lõi (quả)
corf	thúng đựng than
coriaceous	như da
cork	li e
cork-cutter	người làm nút bần
cork-drawer	cái mở nút
cork-jacket	áo phao
cork-leg	chân giả
cork-tree	cây li e
corkage	sự đóng nút chai
corked	có mùi nút chai (rượu)
corker	(từ lóng) cái làm sửng sốt ngạc nhiên
corkiness	tính chất như bần
corking	lạ lùng
corkscrew	cái mở nút chai (hình xoắn ruột gà)
corkwood	gỗ xốp
corky	như li e
corm	(thực vật học) thân hành
cormorant	(động vật học) chim cốc
corn	chai (chân)
corn-chandler	người bán lẻ ngũ cốc
corn-cob	lõi ngô
corn-dealer	erchant) 
corn-fed	nuôi bằng ngô
corn-field	ruộng lúa
corn-killer	laster) 
corn-knife	azor) 
corn-land	đất trồng lúa
corn-merchant	erchant) 
corn-plaster	laster) 
corn-razor	azor) 
corn-stalk	thân cây ngô
cornaceous	(thực vật học) (thuộc) họ phù du
cornea	(giải phẫu) màng sừng
corneal	(giải phẫu) (thuộc) màng sừng
cornel	(thực vật học) giống cây phù du
cornelian	(khoáng chất) cacnelian
corneous	bằng sừng
corner	góc (tường
corner-boy	du côn
corner-chair	ghế ngồi cạnh lò sưởi
corner-flag	(thể dục
corner-man	(như) corner-boy
corner-stone	viên đá góc
corner-tile	ngói (ở) góc
cornered	có góc
cornerwise	theo đường chéo góc
cornet	(âm nhạc) kèn coonê
cornetist	người thổi kèn coonê
cornice	(kiến trúc) gờ; mái đua
corniced	có gờ; có mái đua
cornopean	(âm nhạc) kèn coonê
cornucopia	sừng dê kết hoa quả (tượng trưng cho sự phong phú)
corny	có chai (chân)
corolla	(thông tục) tràng hoa
corollary	(toán học) hệ luận
corona	(thiên văn học) tán mặt trăng
coronach	bài hát tang (bắc Ê-cốt
coronae	(thiên văn học) tán mặt trăng
coronal	vòng nhỏ (vàng
coronary	(giải phẫu) hình vành
coronate	(thực vật học)
coronated	(thực vật học)
coronation	lễ lên ngôi; lễ đăng quang; lễ đội mũ lên đầu
coroner	(pháp lý) nhân viên điều tra những vụ chết bất thường (tai nạn)
coronet	mũ miện nhỏ
coroneted	đội mũ miện nhỏ
coronoid	(giải phẫu) vẹt hình mỏ quạ (mỏm xương)
corozo	(thực vật học) dừa ngà (Nam mỹ)
corpora	tập sao lục
corporal	(tôn giáo) khăn thánh
corporality	tính hữu hình
corporally	về thân thể
corporate	(thuộc) đoàn thể; hợp thành đoàn thể
corporation	đoàn thể
corporative	(thuộc) đoàn thể; (thuộc) phường hội
corporator	hội viên
corporeal	vật chất
corporeality	tính vật chất
corporealize	vật chất hoá
corporeity	tính vật chất
corposant	ire) 
corps	(quân sự) quân đoàn
corpse	xác chết
corpse-candle	ma trơi
corpsman	(từ Mỹ
corpulence	sự to béo
corpulency	sự to béo
corpulent	to béo
corpus	tập sao lục
corpuscle	tiểu thể
corpuscular	(thuộc) tiểu thể
corpuscule	tiểu thể
corral	(từ Mỹ
correct	đúng
correction	sự sửa
correctional	sửa chữa
correctitude	sự đúng đắn
corrective	để sửa chữa
correctness	sự đúng đắn
corrector	người sửa
correlate	thể tương liên
correlation	sự tương quan
correlative	tương quan
correlativeness	sự có tương quan
correspond	xứng
correspondence	sự xứng nhau
correspondent	thông tín viên
corresponding	tương ứng; đúng với
correspondingly	tương ứng
corridor	hành lang (nhà
corrie	thung lũng vòng (ven sườn núi)
corrigenda	lỗi in (trang sách)
corrigendum	lỗi in (trang sách)
corrigible	có thể sửa chữa được (lỗi); có thể trị được (người)
corroborant	làm cường tráng
corroborate	làm chứng
corroboration	sự làm chứng
corroborative	để làm chứng
corroboratory	để làm chứng
corroboree	điệu múa corrobori (một điệu múa dân gian ở Uc)
corrode	gặm mòn ((nghĩa đen) & (nghĩa bóng))
corrodent	chất gặm mòn
corrosion	sự gặm mòn
corrosive	gặm mòn
corrosiveness	sức gặm mòn
corrugate	gấp nếp; làm nhăn
corrugation	sự gấp nếp; sự nhăn lại
corrupt	bị đút lót
corruptibility	tính dễ lung lạc
corruptible	dễ lung lạc
corruption	sự hối lộ
corsage	vạt thân trên (từ cổ đến lưng của áo đàn bà)
corsair	tên cướp biển
corse	(từ cổ
corselet	(sử học) áo giáp
corset	coocxê
corslet	(sử học) áo giáp
cortes	nghị viện (Tây-ban-nha
cortex	(số nhiều) vỏ
cortège	đám rước lễ; đám tang
cortical	(sinh vật học) (thuộc) vỏ
corticate	có vỏ
corticated	có vỏ
cortices	(số nhiều) vỏ
cortison	(dược học) cooctizon
corundum	(khoáng chất) corunđum
coruscant	sáng loáng
coruscate	chói lọi
corvette	(hàng hải) tàu hộ tống nhỏ
corvée	khổ dịch
corvine	(thuộc) con quạ
corymb	(thực vật học) ngù (một kiểu cụm hoa)
coryphaei	người dẫn hát
coryphaeus	người dẫn hát
coryphée	người dẫn múa (vũ ba lê)
coryza	(y học) chứng sổ mũi
cos	rau diếp cốt ((cũng) Cos-lettuce)
cose	ngồi thoải mái
cosesant	(toán học) cosec
cosh	(từ lóng) cái dùi cui
cosher	nâng niu
cosine	(toán học) cosin
cosiness	sự ấm cúng
cosmetic	thuốc xức (làm mượt tóc)
cosmic	(thuộc) vũ trụ
cosmodrome	sân bay vũ trụ
cosmogony	nguồn gốc vũ trụ
cosmographer	nhà nghiên cứu vũ trụ
cosmographic	(thuộc) khoa vũ trụ
cosmographical	(thuộc) khoa vũ trụ
cosmologic	(thuộc) vũ trụ học
cosmological	(thuộc) vũ trụ học
cosmologist	nhà vũ trụ học
cosmology	vũ trụ học
cosmonaut	nhà du hành vũ trụ
cosmonautic	(thuộc) khoa du hành vũ trụ
cosmonautical	(thuộc) khoa du hành vũ trụ
cosmonautics	khoa du hành vũ trụ
cosmopolis	thành phố quốc tế
cosmopolitan	(thuộc) toàn thế giới; (thuộc) chủ nghĩa thế giới
cosmopolitanise	thế giới hoá
cosmopolitanism	chủ nghĩa thế giới
cosmopolitanize	thế giới hoá
cosmopolite	(thuộc) toàn thế giới; (thuộc) chủ nghĩa thế giới
cosmopolitism	chủ nghĩa thế giới
cosmos	vũ trụ
cossack	người Cô-dắc
cosset	con cừu con được nâng niu
cost	giá
costal	(giải phẫu) (thuộc) sườn
costean	(ngành mỏ) dò hướng vỉa
coster	người mua bán hàng rong (cá
costermonger	người mua bán hàng rong (cá
costive	táo bón
costiveness	sự táo bón
costliness	sự đắt tiền
costly	đắt tiền
costume	quần áo
cosy	ấm cúng
cot	giường nhỏ; giường cũi (cho trẻ nhỏ)
cotangent	(toán học) cotang
cote	cái chuồng (nhốt vật nuôi)
coterie	nhóm; phái
coterminous	có đường ranh giới chung
cotillion	điệu nhảy côticông
cotillon	điệu nhảy côticông
coton-gin	máy tỉa hạt bông
cottage	nhà tranh
cottager	người sống trong nhà tranh; người ở nông thôn
cottar	(Ê-cốt) nông dân (ở ngay trong trại)
cotter	(như) cottar
cotton	bông
cotton waste	xơ bông
cotton wool	bông mộc
cotton-cake	bánh khô dầu hạt bông (cho súc vật ăn)
cotton-lord	vua bông (tư bản)
cotton-machine	máy kéo sợi
cotton-mill	nhà máy sợi
cotton-picker	người hái bông
cotton-plant	cây bông
cotton-spinner	thợ kéo sợi
cotton-tail	(động vật học) thỏ đuôi bông (Mỹ)
cottonocracy	những vua bông
cottonopolis	đùa cợt) thành phố Man-se-xte (trung tâm kỹ nghệ bông)
cottony	(thuộc) bông; như bông
cotyledon	(thực vật học) lá mầm
cotyledonous	có lá mầm
cotyloid	(giải phẫu) hình cối
couch	trường kỷ
couch-grass	(thực vật học) cỏ băng
couchant	nằm đầu ngẩng lên (hình thú vật hay huy hiệu)
couchette	giường
cougar	(động vật học) loài báo cuga
cough	chứng ho; sự ho; tiếng ho
cough-drop	ozenge) 
cough-lozenge	ozenge) 
could	bình
couldn't	coulisse	(sân khấu) hậu trường
couloir	(địa lý
coulomb	(điện học) culông
coulombmeter	(điện học) cái đo culông
coulometer	(điện học) cái đo culông
coulter	(nông nghiệp) dao cày
council	hội đồng
council-chamber	all) 
council-hall	all) 
councillor	hội viên hội đồng
councilman	(từ Mỹ
counsel	sự hỏi ý kiến
counsellor	người khuyên bảo
count	bá tước (không phải ở Anh) ((xem) earl)
count-down	sự đếm từ 10 đến 0 (để cho nổ
count-out	sự đếm từ 1 dến 10 (quyền Anh)
countenance	sắc mặt; vẻ mặt
counter	quầy hàng
counter-agent	nhân tố phản tác dụng
counter-approach	(quân sự) luỹ cản tấn công (từ ngoài vào)
